prefabName,name,unitName,code,TacviewACMIType,TacviewXMLBase,TacviewXMLShape
prefabName,name,unitName,code,TacviewACMIType,TacviewXMLBase,prefabName.obj
Shell_76mm_guided,Shell_76mm_guided,76mm Guided Shell,SHL,Heavy + Shell,Core.Shell,Shell_76mm_guided.obj
AAM2,AAM2,AAM-29 Scythe,MSL,Weapon + Missile,Core.Missile,AAM2.obj
AAM4,AAM4,AAM-36 Scimitar,MSL,Weapon + Missile,Core.Missile,AAM4.obj
SPAAG1,SPAAG1,AeroSentry SPAAG,SPAAG,Ground + Medium + AntiAircraft + Vehicle,Vehicle.Military.Truck,SPAAG1.obj
6x6_1_AA,6x6_1_AA,AFV6 AA,AA,Ground + AntiAircraft + Vehicle,Vehicle.Military.APC,6x6_1_AA.obj
6x6_1_APC,6x6_1_APC,AFV6 APC,APC,Ground + Heavy + Armor + Vehicle,Vehicle.Military.APC,6x6_1_APC.obj
6x6_1_AT,6x6_1_AT,AFV6 AT,AT,Ground + Heavy + Armor + Vehicle,Vehicle.Military.APC,6x6_1_AT.obj
6x6_1_IFV,6x6_1_IFV,AFV6 IFV,IFV,Ground + Medium + Vehicle,Vehicle.Military.APC,6x6_1_IFV.obj
AFV8_APC,AFV8_APC,AFV8 APC,APC,Ground + Heavy + Armor + Vehicle,Vehicle.Military.APC,AFV8_APC.obj
AFV8_IFV,AFV8_IVF,AFV8 IFV,IFV,Ground + Medium + Vehicle,Vehicle.Military.APC,AFV8_IFV.obj
AFV8_SAM,AFV8_SAM,AFV8 Mobile Air Defense,SAM IR,Ground + AntiAircraft + Vehicle,Vehicle.Military.Truck,AFV8_SAM.obj
AGM1,AGM1,AGM-48,MSL,Weapon + Missile,Core.Missile,AGM1.obj
AGM_heavy,AGM_heavy,AGM-68,MSL,Weapon + Missile,Core.Missile,AGM_heavy.obj
AShM2,AShM2,AGM-99,MSL,Weapon + Missile,Core.Missile,AShM2.obj
Rocket1,Rocket1,AGR-18 Lynchpin,MSL,Weapon + Missile,Core.Missile,Rocket1.obj
Rocket2,Rocket2,AGR-24 Kingpin,MSL,Weapon + Missile,Core.Missile,Rocket2.obj
AIR-2_Genie,AIR-2_Genie,AIR-2 Genie,MSL,Weapon + Missile,Core.Missile,AIR-2_Genie.obj
revetment1,revetment1,Aircraft Revetment,REV,Ground + Static + Building,Core.Default,revetment1.obj
CruiseMissile1,CruiseMissile1,ALM-C450,MSL,Weapon + Missile,Core.Missile,CruiseMissile1.obj
